product_id,name,category,price,quantity_in_stock,sales,last_stock_date,supplier
PROD0001,Biography Standard,Books,372.38,14,209,2025-10-14,Supplier D
PROD0002,T-Shirt Pro,Clothing,332.87,104,171,2024-12-13,Supplier E
PROD0003,Headphones Premium,Electronics,556.19,408,597,2023-12-23,Supplier D
PROD0004,Pot Premium,Home & Kitchen,909.51,180,569,2024-01-21,Supplier B
PROD0005,Bicycle Premium,Sports,935.48,456,548,2025-09-21,Supplier A
PROD0006,Microwave Standard,Home & Kitchen,185.01,266,523,2024-07-27,Supplier E
PROD0007,Tire Pro,Automotive,218.33,444,604,2024-03-22,Supplier C
PROD0008,Tablet Standard,Electronics,15.42,222,459,2025-10-14,Supplier A
PROD0009,Running Shoes Deluxe,Sports,560.63,58,483,2025-06-16,Supplier A
PROD0010,Socks Standard,Clothing,913.18,135,724,2024-10-21,Supplier C
PROD0011,Keyboard Standard,Electronics,940.63,389,951,2024-03-09,Supplier E
PROD0012,Tire Standard,Automotive,239.94,325,335,2023-11-22,Supplier B
PROD0013,Monitor Pro,Electronics,811.15,201,296,2025-10-24,Supplier E
PROD0014,Sunscreen Standard,Beauty,636.39,487,38,2024-11-08,Supplier B
PROD0015,Headphones Elite,Electronics,696.21,490,953,2023-12-22,Supplier B
PROD0016,Spark Plug Elite,Automotive,994.01,293,889,2024-10-01,Supplier C
PROD0017,Play-Doh Premium,Toys,847.13,78,809,2024-02-02,Supplier E
PROD0018,Mystery Standard,Books,236.34,485,372,2024-08-02,Supplier B
PROD0019,Air Filter Premium,Automotive,242.01,147,804,2024-05-29,Supplier D
PROD0020,Kite Basic,Toys,752.89,405,946,2024-10-10,Supplier C
PROD0021,Speaker Deluxe,Electronics,841.77,106,262,2024-11-26,Supplier E
PROD0022,Action Figure Elite,Toys,331.91,230,159,2024-06-03,Supplier E
PROD0023,Face Mask Premium,Beauty,557.35,7,368,2024-03-24,Supplier A
PROD0024,Doll Standard,Toys,796.72,46,856,2024-10-27,Supplier D
PROD0025,Fiction Novel Deluxe,Books,466.34,291,543,2025-03-07,Supplier B
PROD0026,Kite Elite,Toys,180.94,399,932,2025-01-03,Supplier B
PROD0027,Foundation Pro,Beauty,621.52,266,583,2025-10-21,Supplier E
PROD0028,Charger Standard,Electronics,405.25,53,891,2024-01-13,Supplier A
PROD0029,Mystery Pro,Books,584.69,489,798,2024-03-06,Supplier C
PROD0030,Eye Shadow Premium,Beauty,14.14,257,635,2025-01-13,Supplier C
PROD0031,Keyboard Elite,Electronics,722.39,91,587,2024-12-31,Supplier E
PROD0032,Mouse Premium,Electronics,111.62,151,413,2024-12-04,Supplier B
PROD0033,Board Game Basic,Toys,302.87,89,285,2025-09-29,Supplier C
PROD0034,Shorts Standard,Clothing,554.22,121,866,2024-06-07,Supplier E
PROD0035,Coffee Maker Premium,Home & Kitchen,69.72,458,792,2024-05-22,Supplier E
PROD0036,Helmet Pro,Sports,893.66,434,484,2024-06-12,Supplier C
PROD0037,Football Premium,Sports,710.24,494,96,2023-12-08,Supplier A
